test	bash_rc	rubash_rc	artifact	classification
read	124	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/read	needs-status-output-triage
redir	124	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/redir	needs-status-output-triage
rhs-exp	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/rhs-exp	needs-status-output-triage
rsh	0	1	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/rsh	needs-status-output-triage
set-x	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/set-x	needs-status-output-triage
shopt	127	127	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/shopt	needs-status-output-triage
test	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/test	needs-status-output-triage
tilde	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/tilde	needs-status-output-triage
tilde2	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/tilde2	needs-status-output-triage
trap	2	124	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/trap	needs-status-output-triage
varenv	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/varenv	needs-status-output-triage
vredir	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/vredir	needs-status-output-triage
