bash_rc	rubash_rc	count
0	0	41
0	1	3
0	124	1
0	2	6
1	2	2
124	0	3
124	124	2
127	0	6
127	127	4
127	2	3
2	0	3
2	1	1
2	124	2
2	2	5
9	12	1
TOTAL		83
PASS		13
RAW_DIFF		70
